ENTREZID,SYMBOL,logFC,logCPM,F,PValue,FDR
109050,Fam212b,4.55416018829918,4.62371868067386,243.671935297859,4.01355181886294e-16,1.09084324884876e-11
17246,Mdm2,1.63860505976618,6.08053322521186,190.595334159413,1.09471422786568e-14,1.46268290553695e-10
12450,Ccng1,3.06073674325933,7.39997459487562,184.031221365622,1.73993185716929e-14,1.46268290553695e-10
27015,Polk,2.58263360789288,4.3901671450924,181.081729524624,2.15266625782692e-14,1.46268290553695e-10
68048,Aen,2.60617617407538,5.57901664974914,174.300620087021,3.55241513662028e-14,1.81365147278672e-10
116914,Slc19a2,2.46834178070742,5.57284542950682,172.713950833925,4.00379294187436e-14,1.81365147278672e-10
216049,Zfp365,5.2884976585628,2.65968777087363,153.076952909841,1.91192015191817e-13,7.42343968699769e-10
228413,Prrg4,4.69107699860158,2.4771855878033,138.551094565291,6.80087740391727e-13,2.31051308701334e-09
27280,Phlda3,4.10060844211972,4.37318945268402,134.460517161622,1.05394344652237e-12,3.18279210367016e-09
22401,Zmat3,2.86734618185938,4.62074438713018,130.389418829636,1.45727117233956e-12,3.95576676329847e-09
12028,Bax,1.99125028981876,5.88045826212748,129.410013973751,1.6009946795792e-12,3.95576676329847e-09
13663,Ei24,2.04325015479317,7.16613706593364,124.027943048534,2.71311708789207e-12,6.14498411098488e-09
217882,Cep170b,3.34707513921659,4.32484145277094,108.859092186243,1.33417635545866e-11,2.78935224346237e-08
22164,Tnfsf4,6.33253104914752,1.55567199568467,120.19841522465,2.27361677313035e-11,4.41390216263641e-08
73690,Glipr1,2.36540587442878,4.78692932187436,102.571627614628,2.71971401816031e-11,4.9279404866386e-08
21933,Tnfrsf10b,3.38576056686923,2.58396302423271,95.5990627573391,6.24166535303043e-11,1.01864591689336e-07
26420,Mapk9,-1.26485327291485,6.00409649901511,95.4310889253928,6.37145611949931e-11,1.01864591689336e-07
17191,Mbd2,-1.05795573996103,6.76184437671037,91.1277363507471,1.09002722442276e-10,1.64588055181035e-07
11534,Adk,-1.4540046692051,7.76850464929782,82.8434826012519,3.24242090156604e-10,4.6209230135857e-07
12367,Casp3,-1.78227540864147,5.48413406301993,82.495344539636,3.40036279008477e-10,4.6209230135857e-07
17330,Minpp1,-2.09685071199025,6.15847751021708,81.4261620359211,3.93883838425325e-10,5.09779468788663e-07
665700,Hmcn2,3.58656478454099,0.617082727957122,80.9424142687738,4.21169703168511e-10,5.20316880109862e-07
66622,Ubr7,-1.27128336725918,5.89479976983067,80.2382141303327,4.64549655803152e-10,5.48956308481473e-07
16206,Lrig1,-1.52685068621073,5.14453698535508,78.6660401592568,5.79539765717468e-10,6.48068829133668e-07
14102,Fas,2.30069701025938,5.06810239569396,78.4672562025941,5.9611173068699e-10,6.48068829133668e-07
277396,Klhl23,-1.9615697136401,3.74184220889237,77.3797820841493,6.96171476815987e-10,7.27060227331311e-07
67369,Qpctl,1.59603745165759,3.31343659265001,77.1234552526218,7.2227183258933e-10,7.27060227331311e-07
67880,Dcxr,2.91985505061309,5.09185021971437,78.6177702339733,7.56715766408447e-10,7.29462019371629e-07
13836,Epha2,3.50809290482134,3.22810076383488,76.4921812939405,7.91101253014817e-10,7.29462019371629e-07
67547,Slc39a8,-2.62669763731078,4.49271874047632,76.3703202867516,8.05175340562525e-10,7.29462019371629e-07
381694,B3glct,-1.64069005037116,3.59390899626979,75.4027608807806,9.26858807625999e-10,7.92231449630271e-07
78830,Slc25a12,-1.09945011664772,5.42935481200525,75.3593601653718,9.32757142947447e-10,7.92231449630271e-07
76952,Nt5c2,-1.3720241842143,5.47579974102183,74.9744381221129,9.8685441379084e-10,8.12779276133977e-07
66948,Acad8,1.50357938263367,4.87476441674067,74.1003191235125,1.12251888238395e-09,8.97321785420983e-07
223255,Stk24,-0.930230516759873,6.54705203114124,71.8495753557842,1.57198496880503e-09,1.22071369906149e-06
20933,Med22,-1.23282341993549,5.47685261727018,71.5669687757338,1.64075190785475e-09,1.23872211398845e-06
107371,Exoc6,-1.39720012342866,5.35252186368207,70.3069010884461,1.98880871432924e-09,1.43741735561813e-06
100041286,Snhg15,2.6402732942006,2.98705178307823,70.2388856579607,2.00970821271897e-09,1.43741735561813e-06
50887,Hmgn5,-1.52327579178392,5.66032643653045,69.1399355987182,2.38189491133851e-09,1.65993645628896e-06
170770,Bbc3,3.80257234423787,3.73034221501257,71.3494233400137,2.53425559415759e-09,1.72196331984023e-06
12238,Commd3,1.04331293173834,6.06833292472173,67.809691309618,2.93331202054286e-09,1.94449969283742e-06
72519,Tmem55a,-1.34091483245448,3.46346508033322,67.3585903864305,3.14998888773823e-09,2.03841780904375e-06
76788,Klhdc10,-1.08994229606473,5.81163234352152,67.0993565238611,3.28217134661865e-09,2.07456127976159e-06
230259,E130308A19Rik,-1.43164092025808,3.25222635110421,65.6648717065389,4.12884491821863e-09,2.55040627346055e-06
53381,Prdx4,-1.04214522249518,5.82054532643362,65.0374674860411,4.56979991619328e-09,2.74123080047991e-06
69327,1700007K13Rik,8.00147986512704,-0.632975646385986,72.2123420597768,4.63948698708842e-09,2.74123080047991e-06
319530,Zfp750,5.01050922511529,2.28712739391541,65.0859344904999,4.78706775260236e-09,2.7447316608711e-06
228026,Pdk1,-1.43394896513218,6.1179253473944,64.6175484158155,4.89279626192921e-09,2.7447316608711e-06
74776,Ppa2,-1.05125636915846,5.03101832297743,64.5194111669093,4.97173584667924e-09,2.7447316608711e-06
60599,Trp53inp1,2.61282937120648,8.14214934016767,66.0836771466702,5.0493610156207e-09,2.7447316608711e-06
381269,Mreg,2.44915989958958,5.35527065524716,64.7151338693018,5.55987986404813e-09,2.96297989852871e-06
72137,Wdsub1,-1.64594527433942,3.07374842429107,63.6760386791991,5.7088178962956e-09,2.98174442111406e-06
71520,Grap,1.99611926371216,6.4975358220988,63.4627647131869,5.91310492091111e-09,2.98174442111406e-06
55934,Rp9,-1.22712069802181,5.2707185111466,63.4513934959989,5.92421350087049e-09,2.98174442111406e-06
22592,Ercc5,1.25677626606972,4.52446021204202,62.5934580389382,6.8300115270254e-09,3.36415002827057e-06
66671,Ccnh,-1.17954782413263,4.57138398292868,62.5049377972449,6.93154279344906e-09,3.36415002827057e-06
108937,Rnf169,1.84906398056379,5.79226310323298,62.0007081318085,7.54141670593052e-09,3.59593271316641e-06
26572,Cops3,-1.22067510871107,5.97231817654291,61.2988442958455,8.48732585518847e-09,3.92608227176036e-06
66631,Mfsd14b,-0.978697160148364,5.45937800024231,61.2742288331547,8.52271437631484e-09,3.92608227176036e-06
17686,Msh3,-1.17609280671131,4.83048564117388,60.9616040635659,8.98610113050773e-09,4.0559092384897e-06
